Token,Weirdness
оболочка покрытие,0.25
единичный квадрат,0.2
такой образ,0.10416666666666667
апрель г,0.1
обозначить через,0.07692307692307693
точечный каркас,0.05555555555555555
поверхность проецироваться,0.029411764705882353
узел сетка,0.02727272727272727
параметризация поверхность,0.0196078431372549
каркас поверхность,0.016544117647058824
линия сетка,0.011594202898550725
поверхность задать,0.011312217194570135
в узел,0.0106951871657754
на линия,0.00644122383252818
на сетка,0.006172839506172839
сплайн поверхность,0.003795066413662239
